"""Threshold""",DELF [kp:256; match:nn],SuperPoint [kp:256; match:nn]
5,0.00039557555594878577,0.000751378929979914
10,0.005919930952772534,0.007981348591147215
15,0.021732233958200498,0.03081843873779351
20,0.05336940983775347,0.07307677013281358
25,0.10324989984705507,0.12704639806505585
