Threshold,DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SuperPoint [kp:512; match:nn]
5,0.0029090909090909098,0.0026363636363636363,0.005090909090909091,0.02181818181818182,0.10581818181818185
10,0.010909090909090912,0.009090909090909092,0.012818181818181819,0.046272727272727264,0.16036363636363637
15,0.022090909090909095,0.013272727272727276,0.021272727272727276,0.06645454545454545,0.19772727272727275
20,0.037636363636363634,0.019272727272727278,0.02827272727272728,0.08272727272727272,0.22872727272727278
25,0.052818181818181806,0.025363636363636366,0.035909090909090904,0.09790909090909086,0.25272727272727274
