Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],DELF [kp:1024; match:nn],DELF [kp:2048; match:nn],DELF [kp:256; match:nn],DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],Scale-invariant desc. (Log-Polar; lambda=32) [kp:8000; match:nn],Scale-invariant desc. (Log-Polar; lambda=64) [kp:8000; match:nn],Scale-invariant desc. (Log-Polar; lambda=96) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT + ContextDesc [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:custom],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:custom],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:1024; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint [kp:256; match:nn],SuperPoint [kp:512; match:nn],SuperPoint [kp:8000; match:nn],Scale-invariant desc. (Cartesian; lambda=16) [kp:8000; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom],SURF (OpenCV) [kp:8000; match:nn],SIFT + ContextDesc [kp:8000; match:nn1to1]
5,0.2905679292929293,0.3167593434343434,0.12518257575757574,0.2162159090909091,0.19947979797979798,0.21565681818181814,0.18890984848484849,0.021335353535353534,0.03234924242424242,0.0006239898989898989,0.007346717171717172,0.03536414141414142,0.04065732323232324,0.10122979797979799,0.2405603535353535,0.23905555555555552,0.33875277777777774,0.3715979797979798,0.36235151515151515,0.13555050505050503,0.381075505050505,0.3802906565656565,0.38271464646464637,0.15721414141414142,0.14541919191919195,0.3827712121212121,0.3559272727272727,0.5755073232323231,0.3805320707070706,0.3858315656565656,0.3893593434343434,0.35132601010101006,0.5552583333333332,0.2881462121212121,0.3152840909090908,0.1521368686868687,0.32033838383838387,0.38060858585858576,0.28452651515151517,0.2812431818181818,0.2759689393939394,0.08414217171717171,0.21120858585858587,0.21482171717171716,0.34778181818181814,0.3216595959595959,0.4647030303030302,0.4825578282828282,0.18940555555555552,0.4287196969696969
10,0.3746878787878788,0.4198636363636364,0.2074320707070707,0.33041969696969686,0.32179898989898986,0.33486717171717173,0.3131636363636363,0.07349015151515151,0.0991042929292929,0.0034083333333333335,0.030710858585858584,0.05427828282828282,0.06765782828282829,0.14378383838383837,0.3250931818181818,0.3213078282828283,0.43946439393939396,0.46797651515151517,0.4523275252525252,0.18931767676767675,0.4781558080808081,0.47828383838383837,0.48030303030303023,0.22367373737373736,0.21071893939393938,0.4821366161616162,0.45359772727272724,0.6829820707070706,0.47305858585858584,0.47783787878787876,0.48869747474747477,0.44731287878787884,0.6632717171717172,0.3640128787878788,0.40574015151515147,0.2059909090909091,0.4198462121212121,0.48448661616161603,0.3745267676767677,0.36456666666666665,0.36501919191919197,0.11252348484848484,0.27508333333333335,0.32313787878787875,0.45413434343434345,0.4165999999999999,0.5738070707070706,0.5908494949494949,0.2555376262626263,0.5370987373737373
15,0.4285106060606061,0.48645479797979796,0.2693914141414141,0.4072419191919192,0.4001073232323232,0.4102313131313131,0.39673661616161615,0.12362651515151515,0.16288989898989897,0.007169191919191921,0.058544191919191926,0.0657328282828283,0.08494368686868688,0.1678078282828283,0.38023080808080806,0.3778133838383838,0.504034090909091,0.5284015151515152,0.505509090909091,0.2306638888888889,0.5388808080808081,0.5396467171717172,0.5426661616161615,0.26876388888888886,0.25529823232323234,0.5399497474747476,0.5129212121212122,0.7389085858585858,0.5297762626262627,0.5316977272727272,0.5481444444444444,0.5087267676767677,0.7168785353535353,0.4146371212121212,0.4643305555555556,0.2439492424242424,0.477765404040404,0.5439580808080807,0.4266739898989899,0.4144914141414141,0.4221585858585859,0.1288871212121212,0.3118229797979798,0.39323510101010095,0.5208214646464646,0.4734823232323232,0.6320032828282827,0.6457734848484847,0.30069545454545454,0.6016560606060606
20,0.47251010101010094,0.5359780303030304,0.3209000000000001,0.4627396464646465,0.46231262626262626,0.4652123737373737,0.45787828282828286,0.1707681818181818,0.2185070707070707,0.011123989898989897,0.08424141414141414,0.07554393939393939,0.09756085858585857,0.18651792929292926,0.4272997474747474,0.42324646464646465,0.5545386363636363,0.5756078282828283,0.5467348484848484,0.2663709595959596,0.5854777777777778,0.5847883838383838,0.5886010101010101,0.30757348484848485,0.29120454545454544,0.5853141414141414,0.5581517676767677,0.7750080808080808,0.5741068181818182,0.5790315656565657,0.5940462121212121,0.5547904040404041,0.7544984848484848,0.4549931818181818,0.5121984848484848,0.27624545454545457,0.5207214646464646,0.5877073232323231,0.4664823232323233,0.450565404040404,0.463054797979798,0.14001919191919193,0.3383366161616162,0.4454138888888888,0.5686227272727272,0.5176277777777778,0.672065404040404,0.6840737373737372,0.3371914141414141,0.6463876262626261
25,0.5074762626262627,0.5771654040404041,0.36666010101010105,0.5075202020202021,0.5142366161616162,0.5112068181818181,0.5098280303030303,0.20952045454545454,0.26558055555555554,0.014703535353535354,0.10685782828282825,0.08418156565656566,0.10820580808080807,0.20207777777777775,0.4637527777777778,0.46113333333333334,0.5934767676767677,0.6153901515151515,0.5794088383838384,0.2996388888888889,0.6246290404040404,0.6220689393939394,0.6255287878787879,0.34224873737373734,0.3248969696969697,0.622594696969697,0.5946186868686869,0.800606313131313,0.6140964646464646,0.6138742424242424,0.6310474747474747,0.5941931818181818,0.7848734848484848,0.49008005050505044,0.5511378787878787,0.3037886363636364,0.5577565656565656,0.6209984848484849,0.4973962121212121,0.47915858585858584,0.4947871212121212,0.14932398989898993,0.3586353535353536,0.4881727272727272,0.6075909090909091,0.5521025252525252,0.7010348484848484,0.7122472222222223,0.3702093434343434,0.6826303030303029
