Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT + ContextDesc [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:custom],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:custom],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn],SIFT + ContextDesc [kp:8000; match:nn1to1]
5,0.6385242424242424,0.6076636363636363,0.33833636363636366,0.43386363636363645,0.39542424242424246,0.4304757575757575,0.3872151515151516,0.6474454545454545,0.6735636363636366,0.6298303030303031,0.3708181818181817,0.652339393939394,0.41686666666666666,0.39069696969696976,0.6910242424242425,0.6745272727272729,0.8171909090909092,0.716239393939394,0.7163363636363638,0.687548484848485,0.6671727272727274,0.8063363636363635,0.6325848484848485,0.6367727272727272,0.46044848484848483,0.615769696969697,0.4915818181818181,0.7011818181818182
10,0.7370545454545456,0.7227878787878791,0.4770212121212122,0.5824666666666666,0.5506909090909091,0.5784484848484849,0.5469272727272727,0.7517363636363638,0.771087878787879,0.7189969696969697,0.46077575757575756,0.7595060606060607,0.5321393939393939,0.5077545454545455,0.7878696969696971,0.775269696969697,0.8888878787878789,0.807709090909091,0.8006242424242426,0.7832545454545456,0.7665545454545456,0.8782787878787882,0.7237484848484851,0.734869696969697,0.6007939393939394,0.723278787878788,0.5971000000000001,0.8003848484848486
15,0.7844969696969698,0.7799606060606062,0.5551515151515152,0.6538363636363637,0.6283787878787878,0.651369696969697,0.6263,0.801287878787879,0.8154242424242426,0.7582787878787882,0.5174030303030304,0.807787878787879,0.5940454545454545,0.5716575757575758,0.8295060606060609,0.8197151515151518,0.9144121212121216,0.8460242424242425,0.8390636363636365,0.8263151515151517,0.812048484848485,0.9053424242424245,0.7678515151515153,0.7817666666666668,0.6685969696969697,0.7761939393939395,0.6547212121212121,0.8415333333333336
20,0.8155757575757577,0.8158818181818184,0.6110545454545456,0.6982212121212122,0.6767757575757576,0.6970818181818181,0.6749272727272728,0.8325484848484851,0.8441787878787882,0.7817272727272727,0.5603121212121214,0.8365515151515154,0.6389303030303031,0.6174242424242423,0.8549030303030306,0.8462636363636364,0.9281333333333337,0.8697000000000003,0.8633787878787881,0.8534878787878789,0.8409393939393943,0.9208121212121214,0.797609090909091,0.8119757575757576,0.7107363636363636,0.8090939393939397,0.6955939393939394,0.866409090909091
25,0.838187878787879,0.8413787878787882,0.654478787878788,0.7290000000000002,0.7105121212121213,0.729221212121212,0.7088878787878787,0.8555333333333336,0.8644090909090912,0.7977666666666668,0.5950606060606062,0.8561000000000003,0.6738939393939395,0.6532545454545455,0.8727121212121215,0.8648181818181822,0.9369000000000003,0.8860727272727275,0.8803757575757577,0.871957575757576,0.8612878787878788,0.9310696969696973,0.8201181818181819,0.8333393939393939,0.7395696969696971,0.8331575757575759,0.727069696969697,0.8837030303030304
