"""Threshold""",DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
5,0.0005890835879460252,0.0006974881714169062,0.0005870903423483054,0.00044717170402080666,0.0007848260424252543,0.000804558063396888,0.0008423719061604773,0.0008882122313394763,0.0009742449013925629,0.0010960929691414196,0.0012250309306022962
10,0.008214512471073784,0.007627207432987847,0.007902699301281842,0.0055348048307229565,0.011220198616633538,0.013320127266195912,0.01209699173375363,0.011229656865696313,0.010218487662296029,0.015733775310939984,0.01706293808811817
15,0.03241589914612266,0.03129305341784667,0.031860851216061886,0.0223112912291129,0.041457882397773656,0.051938963359159554,0.041422205476332054,0.04159269241929892,0.038942078836363775,0.05900609874562887,0.06399895866902788
20,0.07701816215607647,0.07776521959869066,0.07759895199388217,0.05698064058588745,0.09747657066472443,0.11677349629875419,0.09696246862825762,0.09304380330003133,0.09204957809095937,0.13380699845919403,0.14130320021038295
25,0.14079821346259414,0.14185639272722297,0.14071907766630518,0.10596046520070831,0.1696402312050798,0.20163771143254403,0.16763726763496603,0.16410948089338248,0.16536097684146267,0.22566858150595906,0.2396347197194895
