Threshold,DELF [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
5,0.05768484848484848,0.5732151515151516
10,0.1709909090909091,0.6699333333333335
15,0.2682333333333334,0.7154303030303031
20,0.34246666666666675,0.7437666666666668
25,0.3983848484848486,0.7630787878787881
