Threshold,DELF [kp:256; match:nn],SIFT (OpenCV) [kp:256; match:nn],SuperPoint [kp:256; match:nn]
5,0.00032323232323232324,0.00026262626262626266,0.07929292929292929
10,0.0018787878787878784,0.002,0.11442424242424244
15,0.004404040404040403,0.0050909090909090895,0.1351515151515152
20,0.0074747474747474734,0.009151515151515148,0.14864646464646464
25,0.010262626262626258,0.013616161616161611,0.15959595959595957
