Threshold,DELF [kp:256; match:nn],SuperPoint [kp:256; match:nn]
5,0.0,0.021636363636363634
10,0.0007272727272727273,0.03972727272727272
15,0.002090909090909091,0.05054545454545454
20,0.0028181818181818186,0.061090909090909085
25,0.0036363636363636364,0.07018181818181818
