Threshold,DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SuperPoint [kp:512; match:nn]
5,0.004626262626262625,0.019171717171717173,0.019717171717171713,0.08367676767676764,0.2366464646464646
10,0.025010101010100996,0.03537373737373736,0.044646464646464636,0.13656565656565653,0.31648484848484837
15,0.05343434343434342,0.047555555555555545,0.06335353535353533,0.16579797979797972,0.3607676767676767
20,0.08165656565656562,0.05860606060606059,0.07810101010101009,0.18898989898989893,0.3903434343434343
25,0.10688888888888883,0.06856565656565655,0.08995959595959592,0.20789898989898983,0.4135353535353535
