Threshold,DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
5,0.0048484848484848485,0.043939393939393945,0.04181818181818182,0.014545454545454545,0.06999999999999999,0.12181818181818183,0.05272727272727271,0.04878787878787878,0.05333333333333334,0.1621212121212121,0.17878787878787875
10,0.03242424242424242,0.10181818181818182,0.09272727272727273,0.03757575757575757,0.14515151515151517,0.2124242424242424,0.11909090909090908,0.10393939393939396,0.11121212121212122,0.2790909090909091,0.2912121212121212
15,0.06484848484848485,0.14696969696969697,0.1463636363636364,0.05878787878787879,0.19666666666666668,0.2724242424242424,0.16939393939393943,0.1575757575757576,0.15999999999999998,0.35424242424242425,0.36696969696969695
20,0.0996969696969697,0.18939393939393942,0.18848484848484848,0.08333333333333333,0.23727272727272727,0.323030303030303,0.21303030303030301,0.196969696969697,0.20575757575757575,0.413939393939394,0.42515151515151517
25,0.13060606060606064,0.22515151515151519,0.22606060606060605,0.10242424242424243,0.2806060606060606,0.36242424242424237,0.2463636363636363,0.23212121212121212,0.24424242424242418,0.45818181818181825,0.47030303030303044
