Sequence,DELF [kp:1024; match:nn],SIFT (OpenCV) [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
BM,0.07322560850889752,0.006340764982614032,0.07997545510329311
FCS,0.018443544759334234,0.0038236617183985606,0.021817363922627078
LMS,0.04113570310753409,0.000894254415381176,0.05902079141515761
LB,0.03655988857938718,0.017757660167130918,0.0804317548746518
MC,0.029471544715447155,0.0065040650406504065,0.03943089430894309
MR,0.012421052631578947,0.011789473684210527,0.012421052631578947
PSM,0.028752436647173488,0.004142300194931774,0.02729044834307992
RS,0.0324272770624702,0.002861230329041488,0.042441583214115404
SF,0.015145228215767635,0.0006224066390041493,0.03215767634854772
SPC,0.017338625443910592,0.0018800919156047628,0.017338625443910592
USC,0.022188603126575893,0.013867876954109935,0.030005042864346947
Avg,0.02973722843618881,0.006407616912825248,0.040211880770022926
