Sequence,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT-ContextDesc-GitHub [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:nn],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
BM,0.48806666666666676,0.5262583333333334,0.21416388888888885,0.40256388888888894,0.3439305555555556,0.4038611111111111,0.3553305555555555,0.48155277777777783,0.5667305555555555,0.5530805555555554,0.29547777777777773,0.5517805555555555,0.2906777777777777,0.2715888888888889,0.46828888888888887,0.507788888888889,0.7271,0.47420555555555555,0.5505666666666666,0.5558916666666667,0.46988611111111117,0.7017361111111109,0.4135472222222221,0.4723638888888888,0.46253888888888905,0.4750861111111111,0.2829583333333333
FCS,0.4841055555555556,0.6656944444444446,0.44566944444444445,0.5713194444444444,0.5683694444444445,0.570911111111111,0.5530416666666665,0.682825,0.7055861111111112,0.6525944444444446,0.35095,0.6518722222222224,0.4213611111111112,0.38498888888888894,0.6918111111111114,0.6491555555555557,0.8686861111111113,0.6740777777777778,0.7145611111111112,0.702788888888889,0.6626638888888892,0.8580944444444445,0.6183666666666667,0.6088472222222223,0.4653361111111112,0.712663888888889,0.39595833333333347
LMS,0.6019500000000001,0.7132277777777778,0.18011388888888885,0.6766666666666665,0.70055,0.6797916666666666,0.7140333333333334,0.7970444444444444,0.8374555555555556,0.77365,0.37736666666666663,0.7640694444444445,0.2696388888888889,0.21321111111111107,0.7649,0.7625222222222222,0.8874416666666666,0.7322777777777778,0.7121000000000001,0.8055111111111113,0.7504,0.8983916666666667,0.5233111111111113,0.6679611111111112,0.6303777777777778,0.8043500000000001,0.4383694444444446
LB,0.45340555555555556,0.4686472222222222,0.4028000000000001,0.5956305555555554,0.5852194444444442,0.6047833333333335,0.5836888888888887,0.6082583333333333,0.49843611111111114,0.46872222222222226,0.23003888888888882,0.6354555555555554,0.36396666666666666,0.3356638888888889,0.6520249999999999,0.6039138888888889,0.8620416666666665,0.5712527777777778,0.5491194444444444,0.5550388888888889,0.5317222222222222,0.8564055555555553,0.47182777777777773,0.4967555555555556,0.5649249999999999,0.4646027777777777,0.3093444444444443
MC,0.6702027777777776,0.7016138888888889,0.4476972222222222,0.5720916666666667,0.5647333333333335,0.5727805555555554,0.5854638888888887,0.7334944444444442,0.7250305555555556,0.7094416666666665,0.2492638888888888,0.7860083333333332,0.5106583333333333,0.5202055555555554,0.7924805555555554,0.7507083333333333,0.9293361111111111,0.805375,0.7808194444444444,0.7751694444444442,0.7870277777777777,0.9076416666666665,0.7085444444444442,0.7654083333333331,0.5567833333333332,0.7726305555555555,0.518961111111111
MR,0.3973916666666666,0.4399194444444446,0.20167499999999994,0.4360944444444444,0.4859750000000001,0.4380722222222222,0.4499388888888889,0.486825,0.46479722222222236,0.5198277777777778,0.1905138888888889,0.5595833333333333,0.19267222222222224,0.18350833333333333,0.5700388888888888,0.543625,0.7085333333333331,0.5631388888888887,0.5758916666666669,0.6041305555555556,0.5530083333333334,0.6978999999999999,0.38252222222222226,0.4810916666666666,0.42924444444444443,0.54925,0.2774638888888888
PSM,0.34786666666666666,0.5291194444444445,0.38761944444444446,0.48684444444444464,0.4991555555555557,0.5006111111111111,0.5287361111111111,0.4310111111111111,0.556163888888889,0.5517916666666667,0.2426333333333333,0.5154055555555557,0.2613777777777777,0.26721388888888886,0.5906444444444445,0.5634611111111112,0.7670916666666667,0.5787,0.5185444444444447,0.5603166666666667,0.5013527777777778,0.704677777777778,0.36772777777777765,0.4732583333333332,0.4828722222222222,0.5294055555555556,0.28029722222222214
RS,0.5651166666666666,0.5262722222222223,0.4628861111111111,0.42603055555555547,0.47242222222222224,0.4199666666666666,0.4485472222222222,0.501875,0.5888472222222222,0.57985,0.38103611111111113,0.4652638888888888,0.41938333333333344,0.4050916666666667,0.534136111111111,0.5033361111111109,0.837075,0.563325,0.5496888888888887,0.5404333333333332,0.5079083333333332,0.82735,0.510986111111111,0.4812444444444444,0.4570888888888889,0.4644722222222222,0.4171
SF,0.604538888888889,0.7771583333333334,0.519438888888889,0.5621444444444444,0.5670444444444444,0.5610861111111111,0.5115333333333334,0.7897138888888888,0.8137,0.6272333333333333,0.4188388888888891,0.7853666666666665,0.5011888888888889,0.4852361111111113,0.8146500000000001,0.7562722222222223,0.9325083333333333,0.8279472222222223,0.8090805555555556,0.834363888888889,0.8004111111111111,0.9275722222222222,0.6292277777777779,0.7227722222222223,0.5269249999999999,0.8363499999999998,0.5208166666666668
SPC,0.6816277777777778,0.7374638888888889,0.6023694444444443,0.6064805555555556,0.6053055555555553,0.6201277777777775,0.6230805555555554,0.707313888888889,0.7518805555555556,0.6942277777777777,0.45309999999999995,0.7231805555555555,0.4224277777777778,0.4063888888888889,0.6983833333333335,0.6594361111111111,0.9316833333333334,0.7124638888888889,0.7212055555555555,0.7191194444444445,0.6822361111111109,0.908225,0.5820722222222221,0.6506361111111111,0.5742527777777777,0.7080444444444443,0.48590277777777774
