Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],DELF [kp:1024; match:nn],DELF [kp:2048; match:nn],DELF [kp:256; match:nn],DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT-ContextDesc-GitHub [kp:8000; match:nn],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT (OpenCV) [kp:1024; match:nn],SIFT (OpenCV) [kp:2048; match:nn],SIFT (OpenCV) [kp:256; match:nn],SIFT (OpenCV) [kp:512; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:1024; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint [kp:256; match:nn],SuperPoint [kp:512; match:nn],SuperPoint [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
5,0.6385242424242424,0.6076636363636363,0.33833636363636366,0.43386363636363645,0.39542424242424246,0.05768484848484848,0.08627575757575755,0.0021727272727272724,0.02063939393939394,0.11752727272727274,0.13509393939393943,0.2921515151515152,0.3708181818181817,0.41686666666666666,0.39069696969696976,0.6910242424242425,0.716239393939394,0.7163363636363638,0.687548484848485,0.6671727272727274,0.6325848484848485,0.001227272727272727,0.002045454545454546,0.0003727272727272725,0.0005696969696969694,0.6367727272727272,0.5716515151515152,0.5732151515151516,0.5797545454545454,0.22745757575757575,0.4611575757575758,0.46044848484848483,0.4915818181818181
10,0.7370545454545456,0.7227878787878791,0.4770212121212122,0.5824666666666666,0.5506909090909091,0.1709909090909091,0.22448787878787876,0.010724242424242426,0.08116666666666666,0.1690121212121212,0.20740909090909093,0.369569696969697,0.46077575757575756,0.5321393939393939,0.5077545454545455,0.7878696969696971,0.807709090909091,0.8006242424242426,0.7832545454545456,0.7665545454545456,0.7237484848484851,0.010142424242424241,0.01624545454545455,0.0029454545454545467,0.005187878787878787,0.734869696969697,0.6705515151515153,0.6699333333333335,0.6805212121212122,0.27957878787878787,0.5456060606060608,0.6007939393939394,0.5971000000000001
15,0.7844969696969698,0.7799606060606062,0.5551515151515152,0.6538363636363637,0.6283787878787878,0.2682333333333334,0.3300242424242424,0.021878787878787886,0.14653030303030307,0.1960424242424243,0.2454515151515152,0.4086757575757577,0.5174030303030304,0.5940454545454545,0.5716575757575758,0.8295060606060609,0.8460242424242425,0.8390636363636365,0.8263151515151517,0.812048484848485,0.7678515151515153,0.02948181818181818,0.04381212121212121,0.008109090909090906,0.016230303030303025,0.7817666666666668,0.7169181818181818,0.7154303030303031,0.7271090909090911,0.3074272727272727,0.5884939393939393,0.6685969696969697,0.6547212121212121
20,0.8155757575757577,0.8158818181818184,0.6110545454545456,0.6982212121212122,0.6767757575757576,0.34246666666666675,0.4076545454545455,0.03359696969696969,0.20130909090909094,0.21641818181818182,0.2714454545454545,0.43556666666666666,0.5603121212121214,0.6389303030303031,0.6174242424242423,0.8549030303030306,0.8697000000000003,0.8633787878787881,0.8534878787878789,0.8409393939393943,0.797609090909091,0.053527272727272736,0.07677575757575757,0.01534545454545454,0.030921212121212124,0.8119757575757576,0.745818181818182,0.7437666666666668,0.7557545454545456,0.3264000000000001,0.6154878787878789,0.7107363636363636,0.6955939393939394
25,0.838187878787879,0.8413787878787882,0.654478787878788,0.7290000000000002,0.7105121212121213,0.3983848484848486,0.4648878787878788,0.043703030303030306,0.24560303030303024,0.23249393939393945,0.2911969696969697,0.4549272727272728,0.5950606060606062,0.6738939393939395,0.6532545454545455,0.8727121212121215,0.8860727272727275,0.8803757575757577,0.871957575757576,0.8612878787878788,0.8201181818181819,0.08101818181818182,0.11281515151515151,0.023169696969696972,0.04726666666666667,0.8333393939393939,0.7658575757575758,0.7630787878787881,0.7751787878787879,0.34054848484848493,0.6349454545454546,0.7395696969696971,0.727069696969697
