"""Threshold""",DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT (OpenCV) [kp:512; match:nn],SuperPoint [kp:512; match:nn]
5,0.0004297053717362317,0.0005536692086001331,0.0005799265769775644,0.0006601931703756805,6.182943218429453e-05,0.000716942913084621
10,0.006879445235477802,0.005554020024146813,0.006625531095478158,0.008155929150912932,0.0013056208885601833,0.009077045287977016
15,0.026621700103225142,0.023027017987164933,0.027396945902592965,0.028636407746517066,0.004929757963184382,0.03771509624956265
20,0.06420106637099315,0.05644303766057781,0.06348636043144885,0.06663807967836395,0.014282652814414175,0.08970724455470659
25,0.12101256805354334,0.10123140589547726,0.11186767313626018,0.11875010857622725,0.029730376849567485,0.15689026452809782
