Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],DELF [kp:1024; match:nn],DELF [kp:2048; match:nn],DELF [kp:256; match:nn],DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:2048; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT + ContextDesc [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:custom],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:custom],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:1024; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint [kp:256; match:nn],SuperPoint [kp:512; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:2048; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom],SURF (OpenCV) [kp:8000; match:nn],SIFT + ContextDesc [kp:8000; match:nn1to1]
5,0.04181818181818182,0.07848484848484849,0.011515151515151513,0.053636363636363635,0.05454545454545454,0.04878787878787878,0.04181818181818182,0.0048484848484848485,0.0048484848484848485,0.0,0.0012121212121212121,0.002121212121212121,0.002727272727272727,0.007272727272727273,0.043939393939393945,0.04181818181818182,0.08212121212121211,0.09727272727272726,0.12393939393939396,0.011212121212121213,0.039696969696969696,0.09242424242424242,0.01,0.00818181818181818,0.10333333333333333,0.09242424242424242,0.2618181818181818,0.09242424242424244,0.0906060606060606,0.11242424242424241,0.0796969696969697,0.2548484848484848,0.04696969696969697,0.062121212121212126,0.014545454545454545,0.12181818181818183,0.05272727272727271,0.05303030303030303,0.04878787878787878,0.00818181818181818,0.04121212121212121,0.04030303030303031,0.04757575757575758,0.09303030303030303,0.05333333333333334,0.1621212121212121,0.17878787878787875,0.01424242424242424,0.1596969696969697
10,0.08848484848484846,0.15424242424242424,0.0409090909090909,0.12545454545454546,0.13242424242424244,0.12212121212121213,0.11848484848484847,0.02333333333333333,0.03242424242424242,0.00030303030303030303,0.0057575757575757565,0.003636363636363636,0.0057575757575757565,0.022727272727272724,0.10181818181818182,0.09272727272727273,0.1603030303030303,0.18424242424242426,0.20272727272727273,0.03151515151515151,0.10212121212121214,0.1787878787878788,0.03393939393939394,0.029999999999999995,0.19454545454545452,0.1636363636363636,0.4163636363636364,0.1690909090909091,0.1715151515151515,0.20424242424242423,0.16060606060606059,0.3993939393939394,0.08818181818181818,0.12333333333333331,0.03757575757575757,0.2124242424242424,0.11909090909090908,0.10666666666666667,0.10393939393939396,0.01636363636363636,0.0778787878787879,0.10333333333333333,0.11000000000000001,0.1875757575757576,0.11121212121212122,0.2790909090909091,0.2912121212121212,0.03696969696969697,0.2675757575757576
15,0.1321212121212121,0.22666666666666666,0.0803030303030303,0.19848484848484846,0.19606060606060607,0.18696969696969692,0.19393939393939394,0.03878787878787879,0.06484848484848485,0.00030303030303030303,0.012121212121212118,0.006060606060606061,0.009696969696969697,0.030303030303030307,0.14696969696969697,0.1463636363636364,0.22727272727272727,0.25606060606060604,0.2666666666666667,0.05515151515151515,0.15484848484848487,0.25060606060606055,0.05969696969696969,0.055757575757575756,0.25424242424242427,0.22969696969696968,0.5166666666666666,0.23303030303030303,0.22606060606060607,0.2739393939393939,0.23090909090909087,0.48606060606060597,0.1272727272727273,0.17878787878787877,0.05878787878787879,0.2724242424242424,0.16939393939393943,0.14878787878787877,0.1575757575757576,0.022424242424242426,0.10030303030303032,0.16303030303030303,0.1596969696969697,0.25818181818181823,0.15999999999999998,0.35424242424242425,0.36696969696969695,0.06333333333333334,0.35424242424242425
20,0.1793939393939394,0.28393939393939394,0.11757575757575758,0.2521212121212121,0.26666666666666666,0.2424242424242424,0.2569696969696969,0.0603030303030303,0.0996969696969697,0.0006060606060606061,0.01636363636363636,0.007878787878787877,0.012424242424242426,0.038787878787878795,0.18939393939393942,0.18848484848484848,0.29030303030303023,0.31666666666666665,0.3269696969696969,0.07696969696969697,0.19787878787878788,0.31,0.08424242424242424,0.0793939393939394,0.3109090909090909,0.28545454545454546,0.5803030303030303,0.29000000000000004,0.2915151515151515,0.3312121212121212,0.28363636363636363,0.5518181818181819,0.16484848484848483,0.23424242424242428,0.08333333333333333,0.323030303030303,0.21303030303030301,0.18333333333333332,0.196969696969697,0.02393939393939394,0.1187878787878788,0.21303030303030301,0.20939393939393938,0.3133333333333334,0.20575757575757575,0.413939393939394,0.42515151515151517,0.08545454545454546,0.41696969696969693
25,0.21454545454545454,0.33636363636363636,0.15636363636363637,0.2972727272727273,0.3278787878787879,0.2960606060606061,0.3193939393939394,0.0778787878787879,0.13060606060606064,0.0012121212121212121,0.02212121212121212,0.010303030303030302,0.015757575757575755,0.04757575757575758,0.22515151515151519,0.22606060606060605,0.3375757575757576,0.37757575757575756,0.37454545454545457,0.09999999999999999,0.23575757575757572,0.36606060606060603,0.11303030303030304,0.10484848484848484,0.3618181818181818,0.32909090909090905,0.6296969696969698,0.34939393939393937,0.33818181818181814,0.3842424242424242,0.3336363636363636,0.6096969696969696,0.20181818181818179,0.2796969696969696,0.10242424242424243,0.36242424242424237,0.2463636363636363,0.21454545454545457,0.23212121212121212,0.026969696969696973,0.13333333333333333,0.2612121212121212,0.25000000000000006,0.3663636363636364,0.24424242424242418,0.45818181818181825,0.47030303030303044,0.11363636363636363,0.46939393939393936
