Threshold,DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT + Scale-invariant desc. (L) [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],SP-V2-MATCHER-SP-V2-MATCHER-2048-NN [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SIFT + Scale-invariant desc. (C) [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
5,0.03234924242424242,0.2405603535353535,0.23905555555555552,0.2395828282828283,0.1521368686868687,0.32033838383838387,0.38060858585858576,0.28452651515151517,0.2759689393939394,0.2506881313131313,0.3216595959595959,0.4647030303030302,0.4825578282828282
10,0.0991042929292929,0.3250931818181818,0.3213078282828283,0.33065378787878785,0.2059909090909091,0.4198462121212121,0.48448661616161603,0.3745267676767677,0.36501919191919197,0.3373214646464646,0.4165999999999999,0.5738070707070706,0.5908494949494949
15,0.16288989898989897,0.38023080808080806,0.3778133838383838,0.39099722222222216,0.2439492424242424,0.477765404040404,0.5439580808080807,0.4266739898989899,0.4221585858585859,0.39531666666666665,0.4734823232323232,0.6320032828282827,0.6457734848484847
20,0.2185070707070707,0.4272997474747474,0.42324646464646465,0.4379525252525252,0.27624545454545457,0.5207214646464646,0.5877073232323231,0.4664823232323233,0.463054797979798,0.44390883838383843,0.5176277777777778,0.672065404040404,0.6840737373737372
25,0.26558055555555554,0.4637527777777778,0.46113333333333334,0.47706767676767675,0.3037886363636364,0.5577565656565656,0.6209984848484849,0.4973962121212121,0.4947871212121212,0.4824646464646465,0.5521025252525252,0.7010348484848484,0.7122472222222223
