Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],DELF [kp:1024; match:nn],DELF [kp:2048; match:nn],DELF [kp:256; match:nn],DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:2048; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT + ContextDesc [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:custom],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:custom],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:1024; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint [kp:256; match:nn],SuperPoint [kp:512; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:2048; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom],SURF (OpenCV) [kp:8000; match:nn],SIFT + ContextDesc [kp:8000; match:nn1to1]
5,0.35565656565656556,0.3801616161616161,0.1189696969696969,0.25727272727272726,0.23640404040404037,0.2649090909090908,0.22278787878787867,0.015535353535353534,0.025818181818181817,0.00032323232323232324,0.004626262626262625,0.019171717171717173,0.019717171717171713,0.08367676767676764,0.28935353535353525,0.28591919191919185,0.4053535353535352,0.4468282828282826,0.4358181818181817,0.12226262626262624,0.28428282828282825,0.43626262626262596,0.15953535353535353,0.14543434343434344,0.47072727272727255,0.4241212121212119,0.6925656565656562,0.46028282828282807,0.47292929292929264,0.4768282828282826,0.4168888888888887,0.6630303030303026,0.33721212121212113,0.38551515151515137,0.14808080808080806,0.3915353535353534,0.4608282828282825,0.3439999999999999,0.3409090909090908,0.32915151515151514,0.07929292929292929,0.2366464646464646,0.250080808080808,0.304161616161616,0.41850505050505027,0.3958989898989897,0.5650909090909089,0.5773737373737371,0.1961616161616161,0.513454545454545
10,0.4639393939393939,0.49569696969696947,0.22307070707070703,0.38666666666666655,0.37626262626262613,0.4004444444444445,0.36187878787878786,0.06563636363636362,0.09286868686868682,0.0018787878787878784,0.025010101010100996,0.03537373737373736,0.044646464646464636,0.13656565656565653,0.38812121212121203,0.3817979797979796,0.5134545454545453,0.5446666666666665,0.530222222222222,0.18725252525252525,0.392181818181818,0.5442828282828281,0.2445252525252525,0.22430303030303025,0.5780404040404039,0.5324848484848483,0.773494949494949,0.5592525252525251,0.5741212121212119,0.5832929292929291,0.5218181818181816,0.7521414141414137,0.4350303030303028,0.49612121212121196,0.2134545454545454,0.5033939393939392,0.5709494949494945,0.4490101010101009,0.43793939393939374,0.43525252525252517,0.11442424242424244,0.31648484848484837,0.3775151515151514,0.4047676767676766,0.5236767676767673,0.5095151515151511,0.6701010101010098,0.6846464646464642,0.2835353535353536,0.6221616161616158
15,0.5296969696969696,0.5641010101010099,0.2983838383838383,0.4682828282828282,0.46498989898989884,0.47822222222222216,0.451070707070707,0.12139393939393937,0.16468686868686858,0.004404040404040403,0.05343434343434342,0.047555555555555545,0.06335353535353533,0.16579797979797972,0.4500808080808078,0.4412929292929292,0.5792121212121211,0.602121212121212,0.583090909090909,0.23555555555555552,0.46082828282828264,0.6082626262626261,0.29931313131313125,0.27777777777777773,0.6368686868686868,0.5954545454545453,0.8111919191919186,0.6157777777777776,0.631212121212121,0.641232323232323,0.5862222222222221,0.7932929292929287,0.49606060606060587,0.5620404040404039,0.25909090909090904,0.5673737373737371,0.6303232323232318,0.5065656565656566,0.49456565656565643,0.4976767676767675,0.1351515151515152,0.3607676767676767,0.45567676767676757,0.4687878787878786,0.5836767676767675,0.5731717171717169,0.7228888888888884,0.7348484848484843,0.3396363636363636,0.6795757575757572
20,0.5761616161616159,0.6136363636363634,0.35878787878787877,0.5274343434343433,0.5271717171717171,0.5334343434343433,0.5163434343434342,0.17593939393939378,0.23004040404040396,0.0074747474747474734,0.08165656565656562,0.05860606060606059,0.07810101010101009,0.18898989898989893,0.4995959595959594,0.49058585858585835,0.6273939393939392,0.6438585858585858,0.6209696969696966,0.2782020202020201,0.5139191919191917,0.6556767676767674,0.3459393939393938,0.3194545454545454,0.682262626262626,0.6414343434343434,0.8365050505050501,0.660181818181818,0.6750505050505049,0.6864848484848485,0.6347676767676766,0.8216363636363634,0.5407878787878786,0.6124848484848483,0.29587878787878785,0.6124040404040402,0.672383838383838,0.5486262626262625,0.5348888888888887,0.5416767676767675,0.14864646464646464,0.3903434343434343,0.5121616161616159,0.5178989898989897,0.6304040404040402,0.6209898989898988,0.7581010101010096,0.7684646464646459,0.3866262626262626,0.7206262626262622
25,0.6129898989898988,0.6535555555555553,0.41070707070707063,0.574080808080808,0.5775555555555555,0.5770909090909089,0.5672121212121211,0.22290909090909083,0.28610101010100997,0.010262626262626258,0.10688888888888883,0.06856565656565655,0.08995959595959592,0.20789898989898983,0.5373535353535352,0.5284848484848483,0.666161616161616,0.6793939393939391,0.6492323232323229,0.3162222222222221,0.5549494949494949,0.6920606060606057,0.38743434343434324,0.35775757575757566,0.7153939393939391,0.6780202020202017,0.8551919191919187,0.6964646464646461,0.7081212121212119,0.7188080808080806,0.6737575757575756,0.8421818181818176,0.5769292929292928,0.6535151515151513,0.3274545454545455,0.6490505050505049,0.7041818181818179,0.5818181818181816,0.564282828282828,0.575212121212121,0.15959595959595957,0.4135353535353535,0.557272727272727,0.5560404040404039,0.6670505050505049,0.6569494949494947,0.7829696969696965,0.7925252525252521,0.42531313131313125,0.7522424242424239
