Threshold,DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
5,0.012454545454545458,0.12081818181818181,0.11818181818181818,0.04363636363636363,0.20036363636363633,0.2792727272727272,0.1697272727272727,0.1461818181818182,0.18463636363636365,0.3789090909090909,0.41318181818181815
10,0.046636363636363636,0.203,0.20009090909090907,0.08172727272727273,0.3034545454545454,0.39263636363636356,0.25945454545454544,0.24036363636363636,0.2857272727272727,0.5105454545454544,0.5445454545454544
15,0.09199999999999998,0.26127272727272727,0.2559090909090909,0.11709090909090908,0.3649090909090909,0.4616363636363637,0.31381818181818183,0.3062727272727273,0.3523636363636364,0.5790909090909091,0.6047272727272727
20,0.1366363636363636,0.3179090909090909,0.3066363636363637,0.14918181818181817,0.4165454545454546,0.514,0.3584545454545454,0.35781818181818187,0.4057272727272727,0.6239090909090909,0.6474545454545455
25,0.18072727272727274,0.3589090909090909,0.352,0.18,0.46090909090909093,0.5549090909090908,0.39554545454545464,0.3966363636363637,0.44909090909090915,0.6568181818181817,0.677909090909091
