Threshold,DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT (OpenCV) [kp:512; match:nn],SuperPoint [kp:512; match:nn]
5,0.007346717171717172,0.03536414141414142,0.04065732323232324,0.10122979797979799,0.0005843434343434342,0.21120858585858587
10,0.030710858585858584,0.05427828282828282,0.06765782828282829,0.14378383838383837,0.0031555555555555555,0.27508333333333335
15,0.058544191919191926,0.0657328282828283,0.08494368686868688,0.1678078282828283,0.008994444444444444,0.3118229797979798
20,0.08424141414141414,0.07554393939393939,0.09756085858585857,0.18651792929292926,0.016326262626262626,0.3383366161616162
25,0.10685782828282825,0.08418156565656566,0.10820580808080807,0.20207777777777775,0.024316666666666667,0.3586353535353536
