Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],DELF [kp:1024; match:nn],DELF [kp:2048; match:nn],DELF [kp:256; match:nn],DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],Scale-invariant desc. (Log-Polar; lambda=32) [kp:8000; match:nn],Scale-invariant desc. (Log-Polar; lambda=64) [kp:8000; match:nn],Scale-invariant desc. (Log-Polar; lambda=96) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT + ContextDesc [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:custom],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:custom],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:1024; match:nn],SuperPoint [kp:2048; match:nn],SuperPoint [kp:256; match:nn],SuperPoint [kp:512; match:nn],SuperPoint [kp:8000; match:nn],Scale-invariant desc. (Cartesian; lambda=16) [kp:8000; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom],SURF (OpenCV) [kp:8000; match:nn],SIFT + ContextDesc [kp:8000; match:nn1to1]
5,0.1262727272727273,0.2007272727272727,0.03190909090909091,0.12009090909090911,0.11154545454545452,0.11845454545454545,0.10381818181818181,0.007272727272727273,0.012454545454545458,0.0,0.0029090909090909098,0.0026363636363636363,0.005090909090909091,0.02181818181818182,0.12081818181818181,0.11818181818181818,0.2200909090909091,0.2687272727272727,0.25981818181818184,0.037909090909090906,0.27154545454545453,0.2514545454545455,0.25636363636363635,0.04245454545454545,0.03736363636363637,0.26599999999999996,0.2326363636363637,0.5304545454545454,0.2531818181818182,0.2634545454545454,0.28063636363636363,0.2415454545454545,0.4968181818181818,0.1358181818181818,0.17672727272727273,0.04363636363636363,0.20036363636363633,0.2792727272727272,0.1697272727272727,0.1578181818181818,0.1461818181818182,0.021636363636363634,0.10581818181818185,0.10845454545454546,0.24627272727272723,0.18463636363636365,0.3789090909090909,0.41318181818181815,0.055636363636363644,0.34054545454545454
10,0.20927272727272728,0.30672727272727274,0.08872727272727271,0.22709090909090907,0.2278181818181818,0.23845454545454547,0.22536363636363632,0.034,0.046636363636363636,0.0007272727272727273,0.010909090909090912,0.009090909090909092,0.012818181818181819,0.046272727272727264,0.203,0.20009090909090907,0.33236363636363636,0.37190909090909086,0.3573636363636364,0.07772727272727271,0.3778181818181818,0.35754545454545444,0.365,0.08409090909090908,0.08081818181818182,0.368090909090909,0.34299999999999997,0.6531818181818182,0.3561818181818182,0.3650909090909091,0.384,0.3402727272727273,0.6232727272727273,0.2090909090909091,0.2686363636363637,0.08172727272727273,0.3034545454545454,0.39263636363636356,0.25945454545454544,0.24372727272727268,0.24036363636363636,0.03972727272727272,0.16036363636363637,0.2109090909090909,0.35972727272727273,0.2857272727272727,0.5105454545454544,0.5445454545454544,0.10454545454545455,0.4582727272727272
15,0.2677272727272728,0.37509090909090914,0.1437272727272727,0.30836363636363645,0.311,0.32436363636363635,0.3156363636363637,0.06609090909090908,0.09199999999999998,0.002090909090909091,0.022090909090909095,0.013272727272727276,0.021272727272727276,0.06645454545454545,0.26127272727272727,0.2559090909090909,0.4083636363636364,0.44000000000000017,0.41400000000000003,0.11454545454545452,0.445090909090909,0.42772727272727273,0.4390909090909091,0.12199999999999997,0.11599999999999998,0.4391818181818181,0.40681818181818197,0.7133636363636364,0.42427272727272736,0.4304545454545455,0.45109090909090904,0.4057272727272727,0.6828181818181819,0.2673636363636364,0.33472727272727276,0.11709090909090908,0.3649090909090909,0.4616363636363637,0.31381818181818183,0.2991818181818182,0.3062727272727273,0.05054545454545454,0.19772727272727275,0.2856363636363637,0.4327272727272727,0.3523636363636364,0.5790909090909091,0.6047272727272727,0.1450909090909091,0.5312727272727272
20,0.3189090909090909,0.4304545454545456,0.19618181818181818,0.3731818181818183,0.3786363636363637,0.3879090909090909,0.3832727272727274,0.10436363636363634,0.1366363636363636,0.0028181818181818186,0.037636363636363634,0.019272727272727278,0.02827272727272728,0.08272727272727272,0.3179090909090909,0.3066363636363637,0.467909090909091,0.4977272727272727,0.4572727272727273,0.15,0.4984545454545455,0.4834545454545454,0.49218181818181816,0.16118181818181818,0.1485454545454545,0.4931818181818182,0.45945454545454556,0.7550909090909091,0.47654545454545455,0.4861818181818183,0.505,0.4598181818181818,0.7237272727272727,0.31672727272727275,0.3900909090909091,0.14918181818181817,0.4165454545454546,0.514,0.3584545454545454,0.3402727272727273,0.35781818181818187,0.061090909090909085,0.22872727272727278,0.3457272727272728,0.48209090909090907,0.4057272727272727,0.6239090909090909,0.6474545454545455,0.18109090909090908,0.5815454545454545
25,0.3641818181818183,0.4773636363636365,0.24509090909090914,0.42972727272727285,0.44100000000000006,0.44245454545454554,0.44381818181818194,0.13890909090909087,0.18072727272727274,0.0036363636363636364,0.052818181818181806,0.025363636363636366,0.035909090909090904,0.09790909090909086,0.3589090909090909,0.352,0.5146363636363637,0.5401818181818182,0.49609090909090914,0.18727272727272729,0.5438181818181819,0.5281818181818182,0.5377272727272727,0.19463636363636364,0.1837272727272727,0.5404545454545455,0.5065454545454547,0.7806363636363636,0.5244545454545455,0.528818181818182,0.5491818181818181,0.508090909090909,0.7565454545454546,0.3614545454545455,0.43799999999999994,0.18,0.46090909090909093,0.5549090909090908,0.39554545454545464,0.37472727272727274,0.3966363636363637,0.07018181818181818,0.25272727272727274,0.39463636363636373,0.5279090909090908,0.44909090909090915,0.6568181818181817,0.677909090909091,0.21481818181818182,0.6251818181818182
