Threshold,DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SIFT (OpenCV) [kp:512; match:nn],SuperPoint [kp:512; match:nn]
5,0.02063939393939394,0.11752727272727274,0.13509393939393943,0.2921515151515152,0.0005696969696969694,0.4611575757575758
10,0.08116666666666666,0.1690121212121212,0.20740909090909093,0.369569696969697,0.005187878787878787,0.5456060606060608
15,0.14653030303030307,0.1960424242424243,0.2454515151515152,0.4086757575757577,0.016230303030303025,0.5884939393939393
20,0.20130909090909094,0.21641818181818182,0.2714454545454545,0.43556666666666666,0.030921212121212124,0.6154878787878789
25,0.24560303030303024,0.23249393939393945,0.2911969696969697,0.4549272727272728,0.04726666666666667,0.6349454545454546
