Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT-ContextDesc-GitHub [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:nn],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
5,0.35565656565656556,0.3801616161616161,0.1189696969696969,0.25727272727272726,0.23640404040404037,0.2649090909090908,0.22278787878787867,0.4053535353535352,0.4468282828282826,0.4358181818181817,0.12226262626262624,0.43626262626262596,0.15953535353535353,0.14543434343434344,0.47072727272727255,0.4241212121212119,0.6925656565656562,0.46028282828282807,0.47292929292929264,0.4768282828282826,0.4168888888888887,0.6630303030303026,0.33721212121212113,0.38551515151515137,0.250080808080808,0.41850505050505027,0.1961616161616161
10,0.4639393939393939,0.49569696969696947,0.22307070707070703,0.38666666666666655,0.37626262626262613,0.4004444444444445,0.36187878787878786,0.5134545454545453,0.5446666666666665,0.530222222222222,0.18725252525252525,0.5442828282828281,0.2445252525252525,0.22430303030303025,0.5780404040404039,0.5324848484848483,0.773494949494949,0.5592525252525251,0.5741212121212119,0.5832929292929291,0.5218181818181816,0.7521414141414137,0.4350303030303028,0.49612121212121196,0.3775151515151514,0.5236767676767673,0.2835353535353536
15,0.5296969696969696,0.5641010101010099,0.2983838383838383,0.4682828282828282,0.46498989898989884,0.47822222222222216,0.451070707070707,0.5792121212121211,0.602121212121212,0.583090909090909,0.23555555555555552,0.6082626262626261,0.29931313131313125,0.27777777777777773,0.6368686868686868,0.5954545454545453,0.8111919191919186,0.6157777777777776,0.631212121212121,0.641232323232323,0.5862222222222221,0.7932929292929287,0.49606060606060587,0.5620404040404039,0.45567676767676757,0.5836767676767675,0.3396363636363636
20,0.5761616161616159,0.6136363636363634,0.35878787878787877,0.5274343434343433,0.5271717171717171,0.5334343434343433,0.5163434343434342,0.6273939393939392,0.6438585858585858,0.6209696969696966,0.2782020202020201,0.6556767676767674,0.3459393939393938,0.3194545454545454,0.682262626262626,0.6414343434343434,0.8365050505050501,0.660181818181818,0.6750505050505049,0.6864848484848485,0.6347676767676766,0.8216363636363634,0.5407878787878786,0.6124848484848483,0.5121616161616159,0.6304040404040402,0.3866262626262626
25,0.6129898989898988,0.6535555555555553,0.41070707070707063,0.574080808080808,0.5775555555555555,0.5770909090909089,0.5672121212121211,0.666161616161616,0.6793939393939391,0.6492323232323229,0.3162222222222221,0.6920606060606057,0.38743434343434324,0.35775757575757566,0.7153939393939391,0.6780202020202017,0.8551919191919187,0.6964646464646461,0.7081212121212119,0.7188080808080806,0.6737575757575756,0.8421818181818176,0.5769292929292928,0.6535151515151513,0.557272727272727,0.6670505050505049,0.42531313131313125
