Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT-ContextDesc-GitHub [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:nn],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
5,0.04181818181818182,0.07848484848484849,0.011515151515151513,0.053636363636363635,0.05454545454545454,0.04878787878787878,0.08212121212121211,0.09727272727272726,0.12393939393939396,0.011212121212121213,0.09242424242424242,0.01,0.00818181818181818,0.10333333333333333,0.09242424242424242,0.2618181818181818,0.09242424242424244,0.0906060606060606,0.11242424242424241,0.0796969696969697,0.2548484848484848,0.04696969696969697,0.062121212121212126,0.04030303030303031,0.09303030303030303,0.01424242424242424
10,0.08848484848484846,0.15424242424242424,0.0409090909090909,0.12545454545454546,0.13242424242424244,0.12212121212121213,0.1603030303030303,0.18424242424242426,0.20272727272727273,0.03151515151515151,0.1787878787878788,0.03393939393939394,0.029999999999999995,0.19454545454545452,0.1636363636363636,0.4163636363636364,0.1690909090909091,0.1715151515151515,0.20424242424242423,0.16060606060606059,0.3993939393939394,0.08818181818181818,0.12333333333333331,0.10333333333333333,0.1875757575757576,0.03696969696969697
15,0.1321212121212121,0.22666666666666666,0.0803030303030303,0.19848484848484846,0.19606060606060607,0.18696969696969692,0.22727272727272727,0.25606060606060604,0.2666666666666667,0.05515151515151515,0.25060606060606055,0.05969696969696969,0.055757575757575756,0.25424242424242427,0.22969696969696968,0.5166666666666666,0.23303030303030303,0.22606060606060607,0.2739393939393939,0.23090909090909087,0.48606060606060597,0.1272727272727273,0.17878787878787877,0.16303030303030303,0.25818181818181823,0.06333333333333334
20,0.1793939393939394,0.28393939393939394,0.11757575757575758,0.2521212121212121,0.26666666666666666,0.2424242424242424,0.29030303030303023,0.31666666666666665,0.3269696969696969,0.07696969696969697,0.31,0.08424242424242424,0.0793939393939394,0.3109090909090909,0.28545454545454546,0.5803030303030303,0.29000000000000004,0.2915151515151515,0.3312121212121212,0.28363636363636363,0.5518181818181819,0.16484848484848483,0.23424242424242428,0.21303030303030301,0.3133333333333334,0.08545454545454546
25,0.21454545454545454,0.33636363636363636,0.15636363636363637,0.2972727272727273,0.3278787878787879,0.2960606060606061,0.3375757575757576,0.37757575757575756,0.37454545454545457,0.09999999999999999,0.36606060606060603,0.11303030303030304,0.10484848484848484,0.3618181818181818,0.32909090909090905,0.6296969696969698,0.34939393939393937,0.33818181818181814,0.3842424242424242,0.3336363636363636,0.6096969696969696,0.20181818181818179,0.2796969696969696,0.2612121212121212,0.3663636363636364,0.11363636363636363
