Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT-ContextDesc-GitHub [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:nn],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
5,0.2905679292929293,0.3167593434343434,0.12518257575757574,0.2162159090909091,0.19947979797979798,0.21565681818181814,0.33875277777777774,0.3715979797979798,0.36235151515151515,0.13555050505050503,0.35514292929292923,0.15721414141414142,0.14541919191919195,0.3827712121212121,0.3559272727272727,0.5755073232323231,0.3805320707070706,0.3858315656565656,0.3893593434343434,0.35132601010101006,0.5552583333333332,0.2881462121212121,0.3152840909090908,0.21482171717171716,0.3423035353535353,0.18940555555555552
10,0.3746878787878788,0.4198636363636364,0.2074320707070707,0.33041969696969686,0.32179898989898986,0.33486717171717173,0.43946439393939396,0.46797651515151517,0.4523275252525252,0.18931767676767675,0.45739419191919195,0.22367373737373736,0.21071893939393938,0.4821366161616162,0.45359772727272724,0.6829820707070706,0.47305858585858584,0.47783787878787876,0.48869747474747477,0.44731287878787884,0.6632717171717172,0.3640128787878788,0.40574015151515147,0.32313787878787875,0.4460191919191918,0.2555376262626263
15,0.4285106060606061,0.48645479797979796,0.2693914141414141,0.4072419191919192,0.4001073232323232,0.4102313131313131,0.504034090909091,0.5284015151515152,0.505509090909091,0.2306638888888889,0.5212777777777778,0.26876388888888886,0.25529823232323234,0.5399497474747476,0.5129212121212122,0.7389085858585858,0.5297762626262627,0.5316977272727272,0.5481444444444444,0.5087267676767677,0.7168785353535353,0.4146371212121212,0.4643305555555556,0.39323510101010095,0.5095131313131314,0.30069545454545454
20,0.47251010101010094,0.5359780303030304,0.3209000000000001,0.4627396464646465,0.46231262626262626,0.4652123737373737,0.5545386363636363,0.5756078282828283,0.5467348484848484,0.2663709595959596,0.5706252525252525,0.30757348484848485,0.29120454545454544,0.5853141414141414,0.5581517676767677,0.7750080808080808,0.5741068181818182,0.5790315656565657,0.5940462121212121,0.5547904040404041,0.7544984848484848,0.4549931818181818,0.5121984848484848,0.4454138888888888,0.5566623737373738,0.3371914141414141
25,0.5074762626262627,0.5771654040404041,0.36666010101010105,0.5075202020202021,0.5142366161616162,0.5112068181818181,0.5934767676767677,0.6153901515151515,0.5794088383838384,0.2996388888888889,0.6111916666666666,0.34224873737373734,0.3248969696969697,0.622594696969697,0.5946186868686869,0.800606313131313,0.6140964646464646,0.6138742424242424,0.6310474747474747,0.5941931818181818,0.7848734848484848,0.49008005050505044,0.5511378787878787,0.4881727272727272,0.5976429292929293,0.3702093434343434
