"""Threshold""",DELF [kp:1024; match:nn],SIFT (OpenCV) [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
5,0.0004367372857686794,3.773337469820445e-05,0.0007726305519089111
10,0.007762270028973203,0.001434232151331265,0.011070048478509033
15,0.02973722843618881,0.006407616912825248,0.040211880770022926
20,0.07444469684125522,0.01751397133676911,0.09533233224529311
25,0.13610160482840508,0.036629461515342236,0.16584882404916368
