Threshold,DELF [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
5,0.015535353535353534,0.3409090909090908
10,0.06563636363636362,0.43793939393939374
15,0.12139393939393937,0.49456565656565643
20,0.17593939393939378,0.5348888888888887
25,0.22290909090909083,0.564282828282828
