Threshold,SIFT (OpenCV) [kp:256; match:nn],SuperPoint [kp:256; match:nn]
5,0.0003727272727272725,0.22745757575757575
10,0.0029454545454545467,0.27957878787878787
15,0.008109090909090906,0.3074272727272727
20,0.01534545454545454,0.3264000000000001
25,0.023169696969696972,0.34054848484848493
