Threshold,DELF [kp:1024; match:nn],SIFT (OpenCV) [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
5,0.0048484848484848485,0.0,0.05303030303030303
10,0.02333333333333333,0.002727272727272727,0.10666666666666667
15,0.03878787878787879,0.006666666666666667,0.14878787878787877
20,0.0603030303030303,0.011515151515151513,0.18333333333333332
25,0.0778787878787879,0.01939393939393939,0.21454545454545457
