Threshold,DELF [kp:2048; match:nn],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn]
5,0.08627575757575755,0.5716515151515152,0.5797545454545454
10,0.22448787878787876,0.6705515151515153,0.6805212121212122
15,0.3300242424242424,0.7169181818181818,0.7271090909090911
20,0.4076545454545455,0.745818181818182,0.7557545454545456
25,0.4648878787878788,0.7658575757575758,0.7751787878787879
