Threshold,DELF [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
5,0.007272727272727273,0.1578181818181818
10,0.034,0.24372727272727268
15,0.06609090909090908,0.2991818181818182
20,0.10436363636363634,0.3402727272727273
25,0.13890909090909087,0.37472727272727274
