Threshold,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],D2-Net (multi-scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT + Scale-invariant desc. (lambda=32) [kp:8000; match:nn],SIFT + Scale-invariant desc. (lambda=64) [kp:8000; match:nn],SIFT + Scale-invariant desc. (lambda=96) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT + ContextDesc [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:custom],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:custom],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn],SIFT + ContextDesc [kp:8000; match:nn1to1]
5,0.1262727272727273,0.2007272727272727,0.03190909090909091,0.12009090909090911,0.11154545454545452,0.11845454545454545,0.10381818181818181,0.2200909090909091,0.2687272727272727,0.25981818181818184,0.037909090909090906,0.23954545454545453,0.27154545454545453,0.2514545454545455,0.25636363636363635,0.04245454545454545,0.03736363636363637,0.26599999999999996,0.2326363636363637,0.5304545454545454,0.2531818181818182,0.2634545454545454,0.28063636363636363,0.2415454545454545,0.4968181818181818,0.1358181818181818,0.17672727272727273,0.10845454545454546,0.24190909090909096,0.055636363636363644,0.34054545454545454
10,0.20927272727272728,0.30672727272727274,0.08872727272727271,0.22709090909090907,0.2278181818181818,0.23845454545454547,0.22536363636363632,0.33236363636363636,0.37190909090909086,0.3573636363636364,0.07772727272727271,0.34700000000000003,0.3778181818181818,0.35754545454545444,0.365,0.08409090909090908,0.08081818181818182,0.368090909090909,0.34299999999999997,0.6531818181818182,0.3561818181818182,0.3650909090909091,0.384,0.3402727272727273,0.6232727272727273,0.2090909090909091,0.2686363636363637,0.2109090909090909,0.34954545454545455,0.10454545454545455,0.4582727272727272
15,0.2677272727272728,0.37509090909090914,0.1437272727272727,0.30836363636363645,0.311,0.32436363636363635,0.3156363636363637,0.4083636363636364,0.44000000000000017,0.41400000000000003,0.11454545454545452,0.4184545454545455,0.445090909090909,0.42772727272727273,0.4390909090909091,0.12199999999999997,0.11599999999999998,0.4391818181818181,0.40681818181818197,0.7133636363636364,0.42427272727272736,0.4304545454545455,0.45109090909090904,0.4057272727272727,0.6828181818181819,0.2673636363636364,0.33472727272727276,0.2856363636363637,0.42,0.1450909090909091,0.5312727272727272
20,0.3189090909090909,0.4304545454545456,0.19618181818181818,0.3731818181818183,0.3786363636363637,0.3879090909090909,0.3832727272727274,0.467909090909091,0.4977272727272727,0.4572727272727273,0.15,0.4802727272727273,0.4984545454545455,0.4834545454545454,0.49218181818181816,0.16118181818181818,0.1485454545454545,0.4931818181818182,0.45945454545454556,0.7550909090909091,0.47654545454545455,0.4861818181818183,0.505,0.4598181818181818,0.7237272727272727,0.31672727272727275,0.3900909090909091,0.3457272727272728,0.4738181818181818,0.18109090909090908,0.5815454545454545
25,0.3641818181818183,0.4773636363636365,0.24509090909090914,0.42972727272727285,0.44100000000000006,0.44245454545454554,0.44381818181818194,0.5146363636363637,0.5401818181818182,0.49609090909090914,0.18727272727272729,0.5305454545454547,0.5438181818181819,0.5281818181818182,0.5377272727272727,0.19463636363636364,0.1837272727272727,0.5404545454545455,0.5065454545454547,0.7806363636363636,0.5244545454545455,0.528818181818182,0.5491818181818181,0.508090909090909,0.7565454545454546,0.3614545454545455,0.43799999999999994,0.39463636363636373,0.524,0.21481818181818182,0.6251818181818182
