Threshold,DELF [kp:256; match:nn],SuperPoint [kp:256; match:nn]
5,0.0,0.00818181818181818
10,0.00030303030303030303,0.01636363636363636
15,0.00030303030303030303,0.022424242424242426
20,0.0006060606060606061,0.02393939393939394
25,0.0012121212121212121,0.026969696969696973
