Threshold,DELF [kp:512; match:nn],ELF-256D [kp:512; match:nn],ELF-512D [kp:512; match:nn],ELF-SIFT [kp:512; match:nn],SuperPoint [kp:512; match:nn]
5,0.0012121212121212121,0.002121212121212121,0.002727272727272727,0.007272727272727273,0.04121212121212121
10,0.0057575757575757565,0.003636363636363636,0.0057575757575757565,0.022727272727272724,0.0778787878787879
15,0.012121212121212118,0.006060606060606061,0.009696969696969697,0.030303030303030307,0.10030303030303032
20,0.01636363636363636,0.007878787878787877,0.012424242424242426,0.038787878787878795,0.1187878787878788
25,0.02212121212121212,0.010303030303030302,0.015757575757575755,0.04757575757575758,0.13333333333333333
