Threshold,DELF [kp:256; match:nn],SIFT (OpenCV) [kp:256; match:nn],SuperPoint [kp:256; match:nn]
5,0.0006239898989898989,0.0003027777777777778,0.08414217171717171
10,0.0034083333333333335,0.0016530303030303033,0.11252348484848484
15,0.007169191919191921,0.004443939393939393,0.1288871212121212
20,0.011123989898989897,0.007995454545454543,0.14001919191919193
25,0.014703535353535354,0.011794949494949494,0.14932398989898993
