Threshold,DELF [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
5,0.021335353535353534,0.2812431818181818
10,0.07349015151515151,0.36456666666666665
15,0.12362651515151515,0.4144914141414141
20,0.1707681818181818,0.450565404040404
25,0.20952045454545454,0.47915858585858584
