Threshold,DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT + Scale-invariant desc. (L) [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],SP-V2-MATCHER-SP-V2-MATCHER-2048-NN [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SIFT + Scale-invariant desc. (C) [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
5,0.025818181818181817,0.28935353535353525,0.28591919191919185,0.28428282828282825,0.14808080808080806,0.3915353535353534,0.4608282828282825,0.3439999999999999,0.32915151515151514,0.304161616161616,0.3958989898989897,0.5650909090909089,0.5773737373737371
10,0.09286868686868682,0.38812121212121203,0.3817979797979796,0.392181818181818,0.2134545454545454,0.5033939393939392,0.5709494949494945,0.4490101010101009,0.43525252525252517,0.4047676767676766,0.5095151515151511,0.6701010101010098,0.6846464646464642
15,0.16468686868686858,0.4500808080808078,0.4412929292929292,0.46082828282828264,0.25909090909090904,0.5673737373737371,0.6303232323232318,0.5065656565656566,0.4976767676767675,0.4687878787878786,0.5731717171717169,0.7228888888888884,0.7348484848484843
20,0.23004040404040396,0.4995959595959594,0.49058585858585835,0.5139191919191917,0.29587878787878785,0.6124040404040402,0.672383838383838,0.5486262626262625,0.5416767676767675,0.5178989898989897,0.6209898989898988,0.7581010101010096,0.7684646464646459
25,0.28610101010100997,0.5373535353535352,0.5284848484848483,0.5549494949494949,0.3274545454545455,0.6490505050505049,0.7041818181818179,0.5818181818181816,0.575212121212121,0.5560404040404039,0.6569494949494947,0.7829696969696965,0.7925252525252521
